"REF_DATE","GEO","DGUID","Gender","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Good perceived health","Number of persons","Number","223","thousands","3","v1427747036","3.1.2.4","147","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747037","3.1.2.5","122","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747038","3.1.2.6","172","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Fair or poor perceived health","Percentage of persons","Percent","239","units","0","v1427747039","3.1.3.1","13.9","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Fair or poor perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747040","3.1.3.2","10.2","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Fair or poor perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747041","3.1.3.3","18.8","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Fair or poor perceived health","Number of persons","Number","223","thousands","3","v1427747042","3.1.3.4","","F","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Fair or poor perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747043","3.1.3.5","","F","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Total, all persons","Fair or poor perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747044","3.1.3.6","","F","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Excellent or very good perceived health","Percentage of persons","Percent","239","units","0","v1427747045","3.2.1.1","46.8","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Excellent or very good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747046","3.2.1.2","37.2","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Excellent or very good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747047","3.2.1.3","56.5","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Excellent or very good perceived health","Number of persons","Number","223","thousands","3","v1427747048","3.2.1.4","102","E","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Excellent or very good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747049","3.2.1.5","81","E","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Excellent or very good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747050","3.2.1.6","124","E","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Good perceived health","Percentage of persons","Percent","239","units","0","v1427747051","3.2.2.1","35.9","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747052","3.2.2.2","27.6","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747053","3.2.2.3","45.2","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Good perceived health","Number of persons","Number","223","thousands","3","v1427747054","3.2.2.4","79","E","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Good perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747055","3.2.2.5","59","E","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Good perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747056","3.2.2.6","98","E","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Fair or poor perceived health","Percentage of persons","Percent","239","units","0","v1427747057","3.2.3.1","17.3","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Fair or poor perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747058","3.2.3.2","11.3","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Fair or poor perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747059","3.2.3.3","25.7","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Fair or poor perceived health","Number of persons","Number","223","thousands","3","v1427747060","3.2.3.4","","F","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Fair or poor perceived health","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747061","3.2.3.5","","F","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Men","Fair or poor perceived health","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1427747062","3.2.3.6","","F","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Women","Excellent or very good perceived health","Percentage of persons","Percent","239","units","0","v1427747063","3.3.1.1","59.2","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Women","Excellent or very good perceived health","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747064","3.3.1.2","51.6","","","","1"
"2021-04","Newfoundland and Labrador","2016A000210","Women","Excellent or very good perceived health","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1427747065","3.3.1.3","66.4","","","","1"
