REF_DATE,GEO,DGUID,Age group,Sex,Indicators,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,Heavy drinking,Percent,Percent,239,units,0,v1806947491,2.1.2.19.4,32.5,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,Heavy drinking,Percent,Percent,239,units,0,v1806947491,2.1.2.19.4,29.7,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806947505,2.1.2.23.4,78,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806947505,2.1.2.23.4,77.2,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Males,"Sense of belonging to local community, somewhat strong or very strong",Percent,Percent,239,units,0,v1806947505,2.1.2.23.4,74,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806947540,2.1.3.3.4,67.1,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806947540,2.1.3.3.4,57,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Perceived mental health, very good or excellent",Percent,Percent,239,units,0,v1806947540,2.1.3.3.4,51.3,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806947547,2.1.3.4.4,8,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806947547,2.1.3.4.4,14,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Perceived mental health, fair or poor",Percent,Percent,239,units,0,v1806947547,2.1.3.4.4,18.1,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806947554,2.1.3.5.4,13.1,,,,1
2021/2022,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806947554,2.1.3.5.4,18.2,,,,1
2023/2024,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,"Perceived life stress, most days quite a bit or extremely stressful",Percent,Percent,239,units,0,v1806947554,2.1.3.5.4,18.7,,,,1
2019/2020,Newfoundland and Labrador,2021A000210,"Total, 18 years and over",Females,Mood disorder,Percent,Percent,239,units,0,v1806947596,2.1.3.11.4,11.5,,,,1
