"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, other","Number of persons","Number","223","units","0","v114665525","10.5.1.9.1","18200","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, other","Low 95% confidence interval, number of persons","Number","223","units","0","v114665526","10.5.1.9.2","12500","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, other","High 95% confidence interval, number of persons","Number","223","units","0","v114665527","10.5.1.9.3","25400","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, other","Percent","Percent","239","units","0","v114665528","10.5.1.9.4","2.3","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, other","Low 95% confidence interval, percent","Percent","239","units","0","v114665529","10.5.1.9.5","1.6","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, other","High 95% confidence interval, percent","Percent","239","units","0","v114665530","10.5.1.9.6","3.3","E","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, other","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665531","10.5.1.9.7","0","E","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, none","Number of persons","Number","223","units","0","v114665532","10.5.1.10.1","76800","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, none","Low 95% confidence interval, number of persons","Number","223","units","0","v114665533","10.5.1.10.2","60600","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, none","High 95% confidence interval, number of persons","Number","223","units","0","v114665534","10.5.1.10.3","93200","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, none","Percent","Percent","239","units","0","v114665535","10.5.1.10.4","9.8","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, none","Low 95% confidence interval, percent","Percent","239","units","0","v114665536","10.5.1.10.5","7.9","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, none","High 95% confidence interval, percent","Percent","239","units","0","v114665537","10.5.1.10.6","12.0","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Both sexes","Main source of stress in day-to-day life, none","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665538","10.5.1.10.7","-1","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Ability to handle unexpected and difficult problems, good or excellent","Number of persons","Number","223","units","0","v114665539","10.5.2.1.1","344100","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Ability to handle unexpected and difficult problems, good or excellent","Low 95% confidence interval, number of persons","Number","223","units","0","v114665540","10.5.2.1.2","326100","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Ability to handle unexpected and difficult problems, good or excellent","High 95% confidence interval, number of persons","Number","223","units","0","v114665541","10.5.2.1.3","359400","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Ability to handle unexpected and difficult problems, good or excellent","Percent","Percent","239","units","0","v114665542","10.5.2.1.4","85.5","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Ability to handle unexpected and difficult problems, good or excellent","Low 95% confidence interval, percent","Percent","239","units","0","v114665543","10.5.2.1.5","80.9","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Ability to handle unexpected and difficult problems, good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v114665544","10.5.2.1.6","89.1","","","","1"
"2016","Alberta","2016A000248","50 to 64 years","Males","Ability to handle unexpected and difficult problems, good or excellent","Statistically different from the Canada (excluding territories) rate","Percent","239","units","0","v114665545","10.5.2.1.7","0","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Ability to handle the day-to-day demands in life, good or excellent","Number of persons","Number","223","units","0","v114665546","10.5.2.2.1","369900","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Ability to handle the day-to-day demands in life, good or excellent","Low 95% confidence interval, number of persons","Number","223","units","0","v114665547","10.5.2.2.2","357700","","","","0"
"2016","Alberta","2016A000248","50 to 64 years","Males","Ability to handle the day-to-day demands in life, good or excellent","High 95% confidence interval, number of persons","Number","223","units","0","v114665548","10.5.2.2.3","379500","","","","0"
