Fiscal year,Diagnosis category,Sex,fiscal_year,value,ci_low,ci_high,sheet_type
2018–2019,   ADHD,Male,Agegroup:5–9years–Rate,16.0,,,Hospitalization
2018–2019,   ADHD,Total,Agegroup:5–9years–Rate,10.4,,,Hospitalization
2019–2020,Neurocognitive disorders,Female,Agegroup:5–9years–Rate,0.4,,,Hospitalization
2019–2020,Neurocognitive disorders,Male,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2019–2020,Neurocognitive disorders,Total,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2019–2020,Substance-related disorders,Female,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2019–2020,Substance-related disorders,Male,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2019–2020,Substance-related disorders,Total,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–Rate,0.4,,,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2019–2020,Mood disorders,Female,Agegroup:5–9years–Rate,1.5,,,Hospitalization
2019–2020,Mood disorders,Male,Agegroup:5–9years–Rate,2.5,,,Hospitalization
2019–2020,Mood disorders,Total,Agegroup:5–9years–Rate,2.0,,,Hospitalization
2019–2020,Anxiety disorders,Female,Agegroup:5–9years–Rate,3.4,,,Hospitalization
2019–2020,Anxiety disorders,Male,Agegroup:5–9years–Rate,3.6,,,Hospitalization
2019–2020,Anxiety disorders,Total,Agegroup:5–9years–Rate,3.5,,,Hospitalization
2019–2020,Personality disorders,Female,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2019–2020,Personality disorders,Male,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2019–2020,Personality disorders,Total,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2019–2020,Other disorders,Female,Agegroup:5–9years–Rate,17.8,,,Hospitalization
2019–2020,Other disorders,Male,Agegroup:5–9years–Rate,42.1,,,Hospitalization
2019–2020,Other disorders,Total,Agegroup:5–9years–Rate,30.2,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–Rate,3.6,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–Rate,5.7,,,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–Rate,4.7,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–Rate,2.6,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–Rate,11.0,,,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–Rate,6.9,,,Hospitalization
2019–2020,   Eating and feeding disorders,Female,Agegroup:5–9years–Rate,2.0,,,Hospitalization
2019–2020,   Eating and feeding disorders,Male,Agegroup:5–9years–Rate,1.1,,,Hospitalization
2019–2020,   Eating and feeding disorders,Total,Agegroup:5–9years–Rate,1.6,,,Hospitalization
2019–2020,   Tic disorders,Female,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2019–2020,   Tic disorders,Male,Agegroup:5–9years–Rate,1.5,,,Hospitalization
2019–2020,   Tic disorders,Total,Agegroup:5–9years–Rate,0.9,,,Hospitalization
2019–2020,   ADHD,Female,Agegroup:5–9years–Rate,4.1,,,Hospitalization
2019–2020,   ADHD,Male,Agegroup:5–9years–Rate,15.0,,,Hospitalization
2019–2020,   ADHD,Total,Agegroup:5–9years–Rate,9.7,,,Hospitalization
2020–2021,Neurocognitive disorders,Female,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2020–2021,Neurocognitive disorders,Male,Agegroup:5–9years–Rate,0.0,,,Hospitalization
2020–2021,Neurocognitive disorders,Total,Agegroup:5–9years–Rate,0.0,,,Hospitalization
2020–2021,Substance-related disorders,Female,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2020–2021,Substance-related disorders,Male,Agegroup:5–9years–Rate,0.7,,,Hospitalization
2020–2021,Substance-related disorders,Total,Agegroup:5–9years–Rate,0.4,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2020–2021,Mood disorders,Female,Agegroup:5–9years–Rate,0.9,,,Hospitalization
2020–2021,Mood disorders,Male,Agegroup:5–9years–Rate,1.0,,,Hospitalization
2020–2021,Mood disorders,Total,Agegroup:5–9years–Rate,1.0,,,Hospitalization
2020–2021,Anxiety disorders,Female,Agegroup:5–9years–Rate,1.4,,,Hospitalization
2020–2021,Anxiety disorders,Male,Agegroup:5–9years–Rate,1.2,,,Hospitalization
2020–2021,Anxiety disorders,Total,Agegroup:5–9years–Rate,1.3,,,Hospitalization
2020–2021,Personality disorders,Female,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2020–2021,Personality disorders,Male,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2020–2021,Personality disorders,Total,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2020–2021,Other disorders,Female,Agegroup:5–9years–Rate,11.9,,,Hospitalization
2020–2021,Other disorders,Male,Agegroup:5–9years–Rate,26.5,,,Hospitalization
2020–2021,Other disorders,Total,Agegroup:5–9years–Rate,19.4,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–Rate,2.5,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–Rate,2.8,,,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–Rate,2.7,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–Rate,2.4,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–Rate,7.9,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–Rate,5.2,,,Hospitalization
2020–2021,   Eating and feeding disorders,Female,Agegroup:5–9years–Rate,1.7,,,Hospitalization
2020–2021,   Eating and feeding disorders,Male,Agegroup:5–9years–Rate,0.7,,,Hospitalization
2020–2021,   Eating and feeding disorders,Total,Agegroup:5–9years–Rate,1.2,,,Hospitalization
2020–2021,   Tic disorders,Female,Agegroup:5–9years–Rate,0.0,,,Hospitalization
2020–2021,   Tic disorders,Male,Agegroup:5–9years–Rate,0.9,,,Hospitalization
2020–2021,   Tic disorders,Total,Agegroup:5–9years–Rate,0.5,,,Hospitalization
2020–2021,   ADHD,Female,Agegroup:5–9years–Rate,2.2,,,Hospitalization
2020–2021,   ADHD,Male,Agegroup:5–9years–Rate,9.3,,,Hospitalization
2020–2021,   ADHD,Total,Agegroup:5–9years–Rate,5.9,,,Hospitalization
2021–2022,Neurocognitive disorders,Female,Agegroup:5–9years–Rate,0.0,,,Hospitalization
2021–2022,Neurocognitive disorders,Male,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2021–2022,Neurocognitive disorders,Total,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2021–2022,Substance-related disorders,Female,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2021–2022,Substance-related disorders,Male,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2021–2022,Substance-related disorders,Total,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2021–2022,Mood disorders,Female,Agegroup:5–9years–Rate,0.8,,,Hospitalization
2021–2022,Mood disorders,Male,Agegroup:5–9years–Rate,1.5,,,Hospitalization
2021–2022,Mood disorders,Total,Agegroup:5–9years–Rate,1.2,,,Hospitalization
2021–2022,Anxiety disorders,Female,Agegroup:5–9years–Rate,1.6,,,Hospitalization
2021–2022,Anxiety disorders,Male,Agegroup:5–9years–Rate,1.7,,,Hospitalization
2021–2022,Anxiety disorders,Total,Agegroup:5–9years–Rate,1.6,,,Hospitalization
2021–2022,Personality disorders,Female,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2021–2022,Personality disorders,Male,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2021–2022,Personality disorders,Total,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2021–2022,Other disorders,Female,Agegroup:5–9years–Rate,12.4,,,Hospitalization
2021–2022,Other disorders,Male,Agegroup:5–9years–Rate,28.0,,,Hospitalization
2021–2022,Other disorders,Total,Agegroup:5–9years–Rate,20.4,,,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–Rate,2.2,,,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–Rate,3.9,,,Hospitalization
2021–2022,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–Rate,3.0,,,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–Rate,2.0,,,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–Rate,6.4,,,Hospitalization
2021–2022,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–Rate,4.2,,,Hospitalization
2021–2022,   Eating and feeding disorders,Female,Agegroup:5–9years–Rate,1.9,,,Hospitalization
2021–2022,   Eating and feeding disorders,Male,Agegroup:5–9years–Rate,0.8,,,Hospitalization
2021–2022,   Eating and feeding disorders,Total,Agegroup:5–9years–Rate,1.4,,,Hospitalization
2021–2022,   Tic disorders,Female,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2021–2022,   Tic disorders,Male,Agegroup:5–9years–Rate,0.8,,,Hospitalization
2021–2022,   Tic disorders,Total,Agegroup:5–9years–Rate,0.5,,,Hospitalization
2021–2022,   ADHD,Female,Agegroup:5–9years–Rate,2.6,,,Hospitalization
2021–2022,   ADHD,Male,Agegroup:5–9years–Rate,9.7,,,Hospitalization
2021–2022,   ADHD,Total,Agegroup:5–9years–Rate,6.2,,,Hospitalization
2022–2023,Neurocognitive disorders,Female,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2022–2023,Neurocognitive disorders,Male,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2022–2023,Neurocognitive disorders,Total,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2022–2023,Substance-related disorders,Female,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2022–2023,Substance-related disorders,Male,Agegroup:5–9years–Rate,0.4,,,Hospitalization
2022–2023,Substance-related disorders,Total,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2022–2023,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2022–2023,Mood disorders,Female,Agegroup:5–9years–Rate,0.4,,,Hospitalization
2022–2023,Mood disorders,Male,Agegroup:5–9years–Rate,1.2,,,Hospitalization
2022–2023,Mood disorders,Total,Agegroup:5–9years–Rate,0.8,,,Hospitalization
2022–2023,Anxiety disorders,Female,Agegroup:5–9years–Rate,0.7,,,Hospitalization
2022–2023,Anxiety disorders,Male,Agegroup:5–9years–Rate,1.3,,,Hospitalization
2022–2023,Anxiety disorders,Total,Agegroup:5–9years–Rate,1.0,,,Hospitalization
2022–2023,Personality disorders,Female,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2022–2023,Personality disorders,Male,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2022–2023,Personality disorders,Total,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2022–2023,Other disorders,Female,Agegroup:5–9years–Rate,12.3,,,Hospitalization
2022–2023,Other disorders,Male,Agegroup:5–9years–Rate,24.9,,,Hospitalization
2022–2023,Other disorders,Total,Agegroup:5–9years–Rate,18.7,,,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–Rate,2.3,,,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–Rate,3.0,,,Hospitalization
2022–2023,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–Rate,2.6,,,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–Rate,1.8,,,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–Rate,5.6,,,Hospitalization
2022–2023,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–Rate,3.7,,,Hospitalization
2022–2023,   Eating and feeding disorders,Female,Agegroup:5–9years–Rate,1.9,,,Hospitalization
2022–2023,   Eating and feeding disorders,Male,Agegroup:5–9years–Rate,1.4,,,Hospitalization
2022–2023,   Eating and feeding disorders,Total,Agegroup:5–9years–Rate,1.6,,,Hospitalization
2022–2023,   Tic disorders,Female,Agegroup:5–9years–Rate,0.0,,,Hospitalization
2022–2023,   Tic disorders,Male,Agegroup:5–9years–Rate,0.7,,,Hospitalization
2022–2023,   Tic disorders,Total,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2022–2023,   ADHD,Female,Agegroup:5–9years–Rate,3.1,,,Hospitalization
2022–2023,   ADHD,Male,Agegroup:5–9years–Rate,8.8,,,Hospitalization
2022–2023,   ADHD,Total,Agegroup:5–9years–Rate,6.1,,,Hospitalization
2023–2024,Neurocognitive disorders,Female,Agegroup:5–9years–Rate,0.0,,,Hospitalization
2023–2024,Neurocognitive disorders,Male,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2023–2024,Neurocognitive disorders,Total,Agegroup:5–9years–Rate,0.0,,,Hospitalization
2023–2024,Substance-related disorders,Female,Agegroup:5–9years–Rate,0.0,,,Hospitalization
2023–2024,Substance-related disorders,Male,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2023–2024,Substance-related disorders,Total,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2023–2024,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–Rate,0.1,,,Hospitalization
2023–2024,Mood disorders,Female,Agegroup:5–9years–Rate,0.7,,,Hospitalization
2023–2024,Mood disorders,Male,Agegroup:5–9years–Rate,0.7,,,Hospitalization
2023–2024,Mood disorders,Total,Agegroup:5–9years–Rate,0.7,,,Hospitalization
2023–2024,Anxiety disorders,Female,Agegroup:5–9years–Rate,1.5,,,Hospitalization
2023–2024,Anxiety disorders,Male,Agegroup:5–9years–Rate,2.2,,,Hospitalization
2023–2024,Anxiety disorders,Total,Agegroup:5–9years–Rate,1.9,,,Hospitalization
2023–2024,Personality disorders,Female,Agegroup:5–9years–Rate,0.4,,,Hospitalization
2023–2024,Personality disorders,Male,Agegroup:5–9years–Rate,0.2,,,Hospitalization
2023–2024,Personality disorders,Total,Agegroup:5–9years–Rate,0.3,,,Hospitalization
2023–2024,Other disorders,Female,Agegroup:5–9years–Rate,14.1,,,Hospitalization
2023–2024,Other disorders,Male,Agegroup:5–9years–Rate,26.9,,,Hospitalization
2023–2024,Other disorders,Total,Agegroup:5–9years–Rate,20.7,,,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–Rate,1.6,,,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–Rate,3.3,,,Hospitalization
2023–2024,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–Rate,2.5,,,Hospitalization
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–Rate,1.5,,,Hospitalization
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–Rate,6.0,,,Hospitalization
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–Rate,3.8,,,Hospitalization
2023–2024,   Eating and feeding disorders,Female,Agegroup:5–9years–Rate,2.7,,,Hospitalization
2023–2024,   Eating and feeding disorders,Male,Agegroup:5–9years–Rate,1.1,,,Hospitalization
2023–2024,   Eating and feeding disorders,Total,Agegroup:5–9years–Rate,1.9,,,Hospitalization
2023–2024,   Tic disorders,Female,Agegroup:5–9years–Rate,0.4,,,Hospitalization
2023–2024,   Tic disorders,Male,Agegroup:5–9years–Rate,0.6,,,Hospitalization
2023–2024,   Tic disorders,Total,Agegroup:5–9years–Rate,0.5,,,Hospitalization
2023–2024,   ADHD,Female,Agegroup:5–9years–Rate,3.0,,,Hospitalization
2023–2024,   ADHD,Male,Agegroup:5–9years–Rate,9.3,,,Hospitalization
2023–2024,   ADHD,Total,Agegroup:5–9years–Rate,6.2,,,Hospitalization
2018–2019,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2018–2019,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2018–2019,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2018–2019,Substance-related disorders,Female,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2018–2019,Substance-related disorders,Male,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2018–2019,Substance-related disorders,Total,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2018–2019,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2018–2019,Mood disorders,Female,Agegroup:5–9years–95%CI,0.0,0,2,Hospitalization
2018–2019,Mood disorders,Male,Agegroup:5–9years–95%CI,2.0,2,4,Hospitalization
2018–2019,Mood disorders,Total,Agegroup:5–9years–95%CI,2.0,2,3,Hospitalization
2018–2019,Anxiety disorders,Female,Agegroup:5–9years–95%CI,2.0,2,5,Hospitalization
2018–2019,Anxiety disorders,Male,Agegroup:5–9years–95%CI,3.0,3,5,Hospitalization
2018–2019,Anxiety disorders,Total,Agegroup:5–9years–95%CI,3.0,3,5,Hospitalization
2018–2019,Personality disorders,Female,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2018–2019,Personality disorders,Male,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2018–2019,Personality disorders,Total,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2018–2019,Other disorders,Female,Agegroup:5–9years–95%CI,16.0,16,22,Hospitalization
2018–2019,Other disorders,Male,Agegroup:5–9years–95%CI,41.0,41,50,Hospitalization
2018–2019,Other disorders,Total,Agegroup:5–9years–95%CI,30.0,30,35,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,3.0,3,5,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,6.0,6,9,Hospitalization
2018–2019,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,5.0,5,7,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,3.0,3,6,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,10.0,10,14,Hospitalization
2018–2019,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,7.0,7,10,Hospitalization
2018–2019,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2018–2019,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2018–2019,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2018–2019,   Tic disorders,Female,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2018–2019,   Tic disorders,Male,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2018–2019,   Tic disorders,Total,Agegroup:5–9years–95%CI,1.0,1,1,Hospitalization
2018–2019,   ADHD,Female,Agegroup:5–9years–95%CI,3.0,3,6,Hospitalization
2018–2019,   ADHD,Male,Agegroup:5–9years–95%CI,14.0,14,18,Hospitalization
2018–2019,   ADHD,Total,Agegroup:5–9years–95%CI,9.0,9,12,Hospitalization
2019–2020,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2019–2020,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2019–2020,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2019–2020,Substance-related disorders,Female,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2019–2020,Substance-related disorders,Male,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2019–2020,Substance-related disorders,Total,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2019–2020,Mood disorders,Female,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2019–2020,Mood disorders,Male,Agegroup:5–9years–95%CI,2.0,2,3,Hospitalization
2019–2020,Mood disorders,Total,Agegroup:5–9years–95%CI,1.0,1,3,Hospitalization
2019–2020,Anxiety disorders,Female,Agegroup:5–9years–95%CI,2.0,2,5,Hospitalization
2019–2020,Anxiety disorders,Male,Agegroup:5–9years–95%CI,2.0,2,5,Hospitalization
2019–2020,Anxiety disorders,Total,Agegroup:5–9years–95%CI,3.0,3,4,Hospitalization
2019–2020,Personality disorders,Female,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2019–2020,Personality disorders,Male,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2019–2020,Personality disorders,Total,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2019–2020,Other disorders,Female,Agegroup:5–9years–95%CI,15.0,15,20,Hospitalization
2019–2020,Other disorders,Male,Agegroup:5–9years–95%CI,38.0,38,46,Hospitalization
2019–2020,Other disorders,Total,Agegroup:5–9years–95%CI,28.0,28,33,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,2.0,2,5,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,4.0,4,7,Hospitalization
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,4.0,4,6,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,2.0,2,4,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,9.0,9,13,Hospitalization
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,6.0,6,8,Hospitalization
2019–2020,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,1.0,1,3,Hospitalization
2019–2020,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,0.0,0,2,Hospitalization
2019–2020,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2019–2020,   Tic disorders,Female,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2019–2020,   Tic disorders,Male,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2019–2020,   Tic disorders,Total,Agegroup:5–9years–95%CI,1.0,1,1,Hospitalization
2019–2020,   ADHD,Female,Agegroup:5–9years–95%CI,3.0,3,5,Hospitalization
2019–2020,   ADHD,Male,Agegroup:5–9years–95%CI,13.0,13,17,Hospitalization
2019–2020,   ADHD,Total,Agegroup:5–9years–95%CI,8.0,8,11,Hospitalization
2020–2021,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2020–2021,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2020–2021,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2020–2021,Substance-related disorders,Female,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2020–2021,Substance-related disorders,Male,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2020–2021,Substance-related disorders,Total,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2020–2021,Mood disorders,Female,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2020–2021,Mood disorders,Male,Agegroup:5–9years–95%CI,0.0,0,2,Hospitalization
2020–2021,Mood disorders,Total,Agegroup:5–9years–95%CI,1.0,1,1,Hospitalization
2020–2021,Anxiety disorders,Female,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2020–2021,Anxiety disorders,Male,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2020–2021,Anxiety disorders,Total,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2020–2021,Personality disorders,Female,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2020–2021,Personality disorders,Male,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2020–2021,Personality disorders,Total,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2020–2021,Other disorders,Female,Agegroup:5–9years–95%CI,10.0,10,14,Hospitalization
2020–2021,Other disorders,Male,Agegroup:5–9years–95%CI,23.0,23,30,Hospitalization
2020–2021,Other disorders,Total,Agegroup:5–9years–95%CI,17.0,17,21,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,2.0,2,3,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,2.0,2,4,Hospitalization
2020–2021,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,2.0,2,3,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,1.0,1,3,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,6.0,6,10,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,4.0,4,6,Hospitalization
2020–2021,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2020–2021,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,0.0,0,1,Hospitalization
2020–2021,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,1.0,1,2,Hospitalization
2020–2021,   Tic disorders,Female,Agegroup:5–9years–95%CI,0.0,0,0,Hospitalization
2020–2021,   Tic disorders,Male,Agegroup:5–9years–95%CI,0.0,0,2,Hospitalization
