ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, health",23500.0,16000.0,32700.0,number,number,E
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, none",30400.0,16200.0,45200.0,number,number,E
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, other",4100.0,1900.0,6600.0,number,number,E
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, time pressures/ not enough time",80500.0,64200.0,97500.0,number,number,
2016,2016,Alberta,Females,35 to 49 years,"Main source of stress in day-to-day life, work",91800.0,75800.0,110100.0,number,number,
2016,2016,Alberta,Females,50 to 64 years,"Ability to handle the day-to-day demands in life, good or excellent",327400.0,310900.0,342900.0,number,number,
2016,2016,Alberta,Females,50 to 64 years,"Ability to handle unexpected and difficult problems, good or excellent",320200.0,304800.0,334700.0,number,number,
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, family",93400.0,76200.0,111700.0,number,number,
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, financial concerns",60000.0,45100.0,74700.0,number,number,
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, health",51200.0,37700.0,65600.0,number,number,
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, none",32300.0,22900.0,41800.0,number,number,
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, other",6300.0,3300.0,9900.0,number,number,E
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, time pressures/ not enough time",39500.0,28200.0,52800.0,number,number,E
2016,2016,Alberta,Females,50 to 64 years,"Main source of stress in day-to-day life, work",98400.0,81000.0,114000.0,number,number,
2016,2016,Alberta,Females,65 years and over,"Ability to handle the day-to-day demands in life, good or excellent",214100.0,206200.0,226500.0,number,number,
2016,2016,Alberta,Females,65 years and over,"Ability to handle unexpected and difficult problems, good or excellent",200200.0,191600.0,213000.0,number,number,
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, family",65400.0,55100.0,76900.0,number,number,
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, financial concerns",33400.0,25900.0,42800.0,number,number,
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, health",41000.0,34300.0,49400.0,number,number,
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, none",51400.0,43200.0,61300.0,number,number,
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, other",12500.0,8800.0,17300.0,number,number,E
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, time pressures/ not enough time",20800.0,13200.0,29100.0,number,number,E
2016,2016,Alberta,Females,65 years and over,"Main source of stress in day-to-day life, work",8400.0,5200.0,12500.0,number,number,E
2016,2016,Alberta,Females,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",1488400.0,1460000.0,1518700.0,number,number,
2016,2016,Alberta,Females,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",1326200.0,1292800.0,1364100.0,number,number,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, family",310800.0,276800.0,343200.0,number,number,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",314000.0,285900.0,348500.0,number,number,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, health",138200.0,118900.0,158000.0,number,number,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, none",146100.0,125400.0,169800.0,number,number,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, other",36400.0,28300.0,46000.0,number,number,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",159200.0,135300.0,180300.0,number,number,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, time pressures/ not enough time",249100.0,221000.0,279200.0,number,number,
2016,2016,Alberta,Females,"Total, 12 years and over","Main source of stress in day-to-day life, work",318400.0,290500.0,349100.0,number,number,
2016,2016,Alberta,Males,12 to 17 years,"Ability to handle the day-to-day demands in life, good or excellent",115300.0,107500.0,122800.0,number,number,
2016,2016,Alberta,Males,12 to 17 years,"Ability to handle unexpected and difficult problems, good or excellent",104700.0,95800.0,113200.0,number,number,
2016,2016,Alberta,Males,12 to 17 years,"Main source of stress in day-to-day life, family",8900.0,4700.0,14100.0,number,number,E
2016,2016,Alberta,Males,12 to 17 years,"Main source of stress in day-to-day life, none",13600.0,7000.0,20400.0,number,number,E
2016,2016,Alberta,Males,12 to 17 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",75400.0,64600.0,87500.0,number,number,
2016,2016,Alberta,Males,12 to 17 years,"Main source of stress in day-to-day life, time pressures/ not enough time",13400.0,7300.0,19700.0,number,number,E
2016,2016,Alberta,Males,18 to 34 years,"Ability to handle the day-to-day demands in life, good or excellent",483200.0,462700.0,501300.0,number,number,
2016,2016,Alberta,Males,18 to 34 years,"Ability to handle unexpected and difficult problems, good or excellent",452500.0,431000.0,472600.0,number,number,
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, family",35900.0,22900.0,50400.0,number,number,E
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, financial concerns",132900.0,109700.0,158600.0,number,number,
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, health",17300.0,6800.0,27900.0,number,number,E
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, none",15700.0,9600.0,23600.0,number,number,E
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, other",19000.0,8100.0,32600.0,number,number,E
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, school work (12 to 34 years old)",53500.0,36900.0,71400.0,number,number,E
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, time pressures/ not enough time",68700.0,52100.0,85500.0,number,number,
2016,2016,Alberta,Males,18 to 34 years,"Main source of stress in day-to-day life, work",192600.0,169000.0,216200.0,number,number,
2016,2016,Alberta,Males,35 to 49 years,"Ability to handle the day-to-day demands in life, good or excellent",416300.0,400700.0,430200.0,number,number,
2016,2016,Alberta,Males,35 to 49 years,"Ability to handle unexpected and difficult problems, good or excellent",395300.0,376200.0,411100.0,number,number,
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, family",47500.0,32600.0,63000.0,number,number,E
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, financial concerns",123300.0,101800.0,144000.0,number,number,
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, health",9500.0,4400.0,15500.0,number,number,E
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, none",24400.0,13200.0,35800.0,number,number,E
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, other",7800.0,4500.0,12500.0,number,number,E
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, time pressures/ not enough time",59600.0,43500.0,76800.0,number,number,
2016,2016,Alberta,Males,35 to 49 years,"Main source of stress in day-to-day life, work",185000.0,160900.0,209000.0,number,number,
2016,2016,Alberta,Males,50 to 64 years,"Ability to handle the day-to-day demands in life, good or excellent",369900.0,357700.0,379500.0,number,number,
2016,2016,Alberta,Males,50 to 64 years,"Ability to handle unexpected and difficult problems, good or excellent",344100.0,326100.0,359400.0,number,number,
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, family",53400.0,39400.0,68800.0,number,number,
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, financial concerns",85300.0,67300.0,102100.0,number,number,
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, health",22900.0,16200.0,30500.0,number,number,E
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, none",44500.0,31200.0,57900.0,number,number,E
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, other",11900.0,7200.0,18000.0,number,number,E
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, time pressures/ not enough time",43400.0,27800.0,57000.0,number,number,E
2016,2016,Alberta,Males,50 to 64 years,"Main source of stress in day-to-day life, work",140400.0,121500.0,161700.0,number,number,
2016,2016,Alberta,Males,65 years and over,"Ability to handle the day-to-day demands in life, good or excellent",189600.0,182000.0,200600.0,number,number,
2016,2016,Alberta,Males,65 years and over,"Ability to handle unexpected and difficult problems, good or excellent",176900.0,168500.0,189100.0,number,number,
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, family",34800.0,26100.0,43700.0,number,number,
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, financial concerns",29600.0,22000.0,38000.0,number,number,
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, health",40600.0,32500.0,49900.0,number,number,
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, none",58500.0,48700.0,69700.0,number,number,
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, other",8800.0,5600.0,12700.0,number,number,E
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, time pressures/ not enough time",16100.0,9600.0,24000.0,number,number,E
2016,2016,Alberta,Males,65 years and over,"Main source of stress in day-to-day life, work",12900.0,8000.0,19400.0,number,number,E
2016,2016,Alberta,Males,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",1574200.0,1543700.0,1605500.0,number,number,
2016,2016,Alberta,Males,"Total, 12 years and over","Ability to handle unexpected and difficult problems, good or excellent",1473500.0,1444600.0,1508400.0,number,number,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, family",180500.0,153800.0,210400.0,number,number,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, financial concerns",373700.0,334000.0,413900.0,number,number,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, health",91200.0,74800.0,108800.0,number,number,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, none",156700.0,134300.0,180800.0,number,number,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, other",49800.0,37200.0,65300.0,number,number,
2016,2016,Alberta,Males,"Total, 12 years and over","Main source of stress in day-to-day life, school work (12 to 34 years old)",128900.0,109300.0,151000.0,number,number,
