ref_date_raw,start_year,geo,sex,indicator,value,ci_low,ci_high,uom,metric_type,quality_flag
2021-07,2021,Prince Edward Island,Women,Good perceived health,21000.0,16000.0,25000.0,number,number,E
2021-07,2021,Quebec,Men,Excellent or very good perceived health,2238000.0,2108000.0,2368000.0,number,number,
2021-07,2021,Quebec,Men,Fair or poor perceived health,313000.0,244000.0,383000.0,number,number,E
2021-07,2021,Quebec,Men,Good perceived health,989000.0,871000.0,1108000.0,number,number,
2021-07,2021,Quebec,"Total, all persons",Excellent or very good perceived health,4330000.0,4157000.0,4503000.0,number,number,
2021-07,2021,Quebec,"Total, all persons",Fair or poor perceived health,679000.0,580000.0,779000.0,number,number,
2021-07,2021,Quebec,"Total, all persons",Good perceived health,2085000.0,1916000.0,2253000.0,number,number,
2021-07,2021,Quebec,Women,Excellent or very good perceived health,2092000.0,1967000.0,2217000.0,number,number,
2021-07,2021,Quebec,Women,Fair or poor perceived health,366000.0,293000.0,438000.0,number,number,E
2021-07,2021,Quebec,Women,Good perceived health,1095000.0,979000.0,1211000.0,number,number,
2021-07,2021,Saskatchewan,Men,Excellent or very good perceived health,258000.0,223000.0,293000.0,number,number,
2021-07,2021,Saskatchewan,Men,Good perceived health,149000.0,115000.0,182000.0,number,number,E
2021-07,2021,Saskatchewan,"Total, all persons",Excellent or very good perceived health,488000.0,439000.0,537000.0,number,number,
2021-07,2021,Saskatchewan,"Total, all persons",Fair or poor perceived health,115000.0,86000.0,143000.0,number,number,E
2021-07,2021,Saskatchewan,"Total, all persons",Good perceived health,286000.0,239000.0,332000.0,number,number,
2021-07,2021,Saskatchewan,Women,Excellent or very good perceived health,230000.0,196000.0,264000.0,number,number,
2021-07,2021,Saskatchewan,Women,Good perceived health,137000.0,105000.0,169000.0,number,number,E
2021-10,2021,Alberta,Men,Excellent or very good perceived health,971000.0,869000.0,1073000.0,number,number,
2021-10,2021,Alberta,Men,Good perceived health,569000.0,472000.0,665000.0,number,number,
2021-10,2021,Alberta,"Total, all persons",Excellent or very good perceived health,1835000.0,1700000.0,1970000.0,number,number,
2021-10,2021,Alberta,"Total, all persons",Fair or poor perceived health,507000.0,415000.0,600000.0,number,number,
2021-10,2021,Alberta,"Total, all persons",Good perceived health,1199000.0,1064000.0,1334000.0,number,number,
2021-10,2021,Alberta,Women,Excellent or very good perceived health,864000.0,773000.0,956000.0,number,number,
2021-10,2021,Alberta,Women,Fair or poor perceived health,279000.0,212000.0,346000.0,number,number,E
2021-10,2021,Alberta,Women,Good perceived health,630000.0,539000.0,721000.0,number,number,
2021-10,2021,Atlantic Region,Men,Excellent or very good perceived health,451000.0,411000.0,490000.0,number,number,
2021-10,2021,Atlantic Region,Men,Fair or poor perceived health,203000.0,171000.0,236000.0,number,number,
2021-10,2021,Atlantic Region,Men,Good perceived health,368000.0,326000.0,410000.0,number,number,
